,url,title,favicon,top_img,date,summary,ai_rating,user_rating
0,http://theweek.com/articles/666799/how-american-health-care-kills-people,OPINION: This is how American health care kills people,https://www.google.com/s2/favicons?domain=www.theweek.com,https://cdn.mos.cms.futurecdn.net/QcAfaAn4LY5rmTBBNpkV2g-1200-80.png,2017-01-19,"Stewart is 29 years old, and was pursuing his Ph.D in American history at Texas Christian University until ill health forced him to withdraw.
Sign upThe incomprehensible brutality of Stewart's story is an object lesson in how the American health care system mercilessly crushes American citizens when they are at their weakest and most vulnerable.
As has happened every year since ObamaCare was first implemented, he says, Stewart's insurance provider withdrew from the exchange.
Stewart's liver will almost certainly give out at some point in the next few years, at which point he'll have to have a transplant to survive.
The American health care system is such a hideously complicated tangle of institutions that blame for Stewart's situation might plausibly be laundered among dozens of different actors.",0,
1,https://www.vox.com/the-big-idea/2019/1/7/18167691/what-is-socialism-capitalism-sanders-warren,Is America’s future capitalist or socialist?,https://www.google.com/s2/favicons?domain=www.vox.com,https://cdn.vox-cdn.com/thumbor/ww4vGcLyBuo9LiycY9TSEY42fAc=/0x36:1800x978/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/13673286/cap_com_lead_artboard.jpg,2019-01-07,"In another, a majority of millennials said they would rather live in a socialist country than a capitalist one.
He ran as a democratic socialist, disavowing America’s longtime capitalist consensus and proudly wrapping himself in a label pundits considered political poison.
That’s not to say the special interests, including business interests, don’t have disproportionate political and economic power.
And, yes, power — economic power, political power — matters in terms of how the good things in life are distributed.
This economic power is not less real than our political power as voters, and can be exercised individually and collectively.",0,
2,http://townhall.com/tipsheet/guybenson/2012/09/10/confirmed_despite_recycled_dnc_speech_obama_gets_poll_bounce,"Confirmed: Despite Recycled DNC Speech, Obama Gets Poll Bounce",https://www.google.com/s2/favicons?domain=www.townhall.com,http://townhall.com/apple-touch-icon.png,2012-09-10,"In an attempt to quell concerns about tracking polls, the Romney campaign has issued a memo from its top internal polling guru.
The reality of the Obama economy will reassert itself as the ultimate downfall of the Obama Presidency, and Mitt Romney will win this race.
In North Carolina, fresh off of hosting the Democratic National Convention, the Obama campaign is laying the groundwork for a stealth withdrawal.
For instance, as of today, Victory volunteers have already knocked on more doors than during the entire 2008 campaign.
Also, the Romney campaign knocked on more doors last week than in any week during the 2008 campaign.",2,
3,https://apnews.com/859307e1fa0cccf8080fc87550c5b01c,Trump: No change at bases named for Confederate officers,https://www.google.com/s2/favicons?domain=www.apnews.com,https://dims.apnews.com/dims4/default/46478a5/2147483647/strip/true/crop/3000x1688+0+156/resize/1440x810!/quality/90/?url=https%3A%2F%2Fstorage.googleapis.com%2Fafs-prod%2Fmedia%2Fff8d2e65badf41418498d469e5f741da%2F3000.jpeg,2020-06-10,"WASHINGTON (AP) — President Donald Trump on Wednesday said his administration will “not even consider” changing the name of any of the 10 Army bases that are named for Confederate Army officers.
Supporters of disassociating military bases from Confederate Army officers argue that they represent the racism and divisiveness of the Civil War era and glorify men who fought against the United States.
Ten major Army installations are named for Confederate Army officers, mostly senior generals, including Robert E. Lee.
Few voices in the military are openly defending the link to Confederate symbols, but some of the bases named for Confederate officers are legendary in their own right.
Fort Bragg, for example, is home to some of the Army’s most elite forces.",1,
4,http://www.washingtontimes.com/news/2015/feb/5/brian-williams-misremembers-twitter-storm/,Brian Williams’ lie takes social media by storm; Viewers vent outrage with mocking hashtags,https://www.google.com/s2/favicons?domain=www.washingtontimes.com,https://twt-thumbs.washtimes.com/media/image/2009/06/10/20090609-215646-pic-706622199_c0-98-2896-1787_s1200x700.jpg?57612be4796ab6f7af8b56e6fcbfbae4e2f6691f,2015-02-05,"On a recent broadcast, Mr. Williams admitted he “made a mistake in recalling the events of 12 years ago” and falsely saying that “a helicopter we were traveling in was forced down after being hit by an RPG,” the Los Angeles Times reported.
He apologized and admitted, “No, we never came under direct enemy fire to the aircraft,” he said, Stars and Stripes reported.
Users are Photoshopping pictures of Mr. Williams in various historical spots and times, with the hashtags #BrianWilliamsMemories and #BrianWilliamsMisremembers.
Yet one more puts him in the front seat of the white Bronco driven by O.J.
#BrianWilliamsMemories.”Still other Twitter users posted scathing commentaries about Mr. Williams’ lie, absent photos.",2,
5,https://www.thedailybeast.com/trump-on-coming-debt-crisis-i-wont-be-here-when-it-blows-up?ref=wrap,Trump on Coming Debt Crisis: ‘I Won’t Be Here’ When It Blows Up,https://www.google.com/s2/favicons?domain=www.thedailybeast.com,"https://img.thedailybeast.com/image/upload/c_crop,d_placeholder_euli9k,h_3375,w_6000,x_0,y_0/dpr_2.0/c_limit,w_740/fl_lossy,q_auto/v1543977245/181127-trump-debt-tease_tj688a",2018-12-05,"Since the 2016 presidential campaign, Donald Trump’s aides and advisers have tried to convince him of the importance of tackling the national debt.
In response, Trump noted that the data suggested the debt would reach a critical mass only after his possible second term in office.
“Yeah, but I won’t be here,” the president bluntly said, according to a source who was in the room when Trump made this comment during discussions on the debt.
Since then, the president has continued to show indifference over the national debt, to the consternation of more traditionally conservative associates.
One current senior Trump administration official vented that Trump “doesn’t really care” about actually attacking the debt “crisis,” and prefers simply “jobs and growth, whatever that means.”For the most part, the Republican Party has gone along.",0,
6,http://www.npr.org/sections/thetwo-way/2017/03/17/520515168/tillerson-says-all-of-the-options-are-on-the-table-in-dealing-with-north-korea,Tillerson Says 'All Of The Options Are On The Table' In Dealing With North Korea,https://www.google.com/s2/favicons?domain=www.npr.org,https://media.npr.org/assets/img/2017/03/17/ap_17076327131072_wide-e151b69d1350001d61fb20b0d14e1eb199418838-s1400-c100.jpg,2017-03-17,"Tillerson Says 'All Of The Options Are On The Table' In Dealing With North KoreaEnlarge this image toggle caption Jung Yeon-Je/AP Jung Yeon-Je/APUpdated at 5:10 p.m.
ETSecretary of State Rex Tillerson says the U.S. doesn't want to take military action against North Korea, but ""all of the options are on the table"" if a serious threat arises.
Tillerson made his frank remarks in a visit to South Korea on Friday, a day after saying diplomatic efforts ""have failed"" to persuade North Korea to abandon its nuclear program.
""The policy of strategic patience has ended,"" Tillerson said, according to The Korea Times, in an apparent reference to the Obama administration's approach.
""If there's an imminent strike against the United States, we have to look at all options on the table.""",1,
7,https://nypost.com/2019/08/16/trump-floated-us-buying-greenland-but-country-says-its-not-for-sale/,"Trump floated US buying Greenland, but country says it’s not for sale",https://www.google.com/s2/favicons?domain=www.nypost.com,https://nypost.com/wp-content/uploads/sites/2/2019/08/trump-greeland.jpg?quality=75&strip=all&w=1024,2019-08-16,"“We are open for business, but we’re NOT for sale,” Ane Lone Bagger told Reuters.
People familiar with the deliberations said Trump asked his White House counsel to look into the matter, according to the Wall Street Journal, which first reported about his interest.
On Thursday, a Trump ally told the Associated Press that the commander-in-chief had discussed the purchase but was not serious about it.
Trump has been curious about the natural resources and geopolitical relevance of the ice-covered country, a self-governing region of Denmark, which colonized the 772,000-square-mile island in the 18th century, according to the Wall Street Journal.
In 1946, the US proposed to pay Denmark $100 million to buy Greenland after flirting with the idea of swapping land in Alaska for strategic parts of the Arctic island.",2,
8,https://www.themarshallproject.org/2020/07/10/how-ice-exported-the-coronavirus,How ICE Exported the Coronavirus,https://www.google.com/s2/favicons?domain=www.themarshallproject.org,https://d1n0c1ufntxbvh.cloudfront.net/photo/b862b302/59025/1200x/,2020-07-10,"Even as lockdowns and other measures have been taken around the world to prevent the spread of the coronavirus, ICE has continued to detain people, move them from state to state and deport them.
So far, ICE has confirmed at least 3,000 coronavirus-positive detainees in its detention centers, though testing has been limited.
We tracked over 750 domestic ICE flights since March, carrying thousands of detainees to different centers, including some who said they were sick.
When asked about the agency’s role in spreading the virus by moving and deporting sick detainees, ICE said it took precautions and followed guidelines of the Centers for Disease Control and Prevention.
As of last week, ICE said that it was still able to test only a sampling of immigrants before sending them home.",1,
9,https://www.usatoday.com/story/news/2017/04/18/us-supreme-court-wont-allow-arkansas-execution/100589846/,U.S. Supreme Court won’t allow Arkansas execution,https://www.google.com/s2/favicons?domain=www.usatoday.com,https://www.usatoday.com/gcdn/-mm-/834bcec4c22189391f451acabee14784cf0df5d6/c=0-455-4028-2731/local/-/media/2017/04/17/USATODAY/USATODAY/636280467858903759-AP-Arkansas-Executions.jpg?width=3200&height=1809&fit=crop&format=pjpg&auto=webp,2017-04-18,"Justices turned down Arkansas Attorney General Leslie Rutledge’s request to vacate a stay for Don Davis, 54, who was set to die Monday night by lethal injection.
A federal district court had blocked all the executions Saturday, but the U.S. Court of Appeals for the 8th Circuit reversed that decision.
The planned executions have renewed the debate over lethal injection in particular and capital punishment in general, which has been in decline for nearly two decades.
The Supreme Court refused to hear the prisoners’ appeal in February, along with another case from Alabama.
It is scheduled to hear two more death penalty cases on April 24, the date two more Arkansas prisoners are slated for execution.",1,
